
Center of Budget Monitoring
"W-work,TPEX,CIsco, KPN"
"Amsterdam Innovation Motor, ORAM, Veban, W-work, Spaces, Amsterdam Bright City, Triple-Ace, Cisco, TATA, IUNXI, VisionsConnected, Avisco."
"TNO,Geodan, Waifer, Ecofys, Esri, Liander, Alliander"
"Waag Society, Hogeschool van Amsterdam, Gemeente Amsterdam"
"Stedelijk Museum, Antenna International, Chess project EU"
"Amsterdam Economic Board, Waag Society"
"TNO, Liander, Gemeente Amsterdam, Waternet, Vattenfall-Nuon, Alliander"
"MSL, Read On, Liander, Alliander"
"Imtech, Watcher, Fair Climate Fund"
"KPN, Liander, Alliander"

"Amsterdam Economic Board, De Waag Society"
"Codecult, Nxtcity, Amsterdam Smart City, Gemeente Amsterdam, "
"Sezo Maatchappelijke Dienstverlening, Eigen Wijks, Boot HvA, Hogeschool van Amsterdam"
"Startup Bootcamp, Saxion Hogescholen, Petities.nl, Startup Delta"
"De Waag Society, Pakhuis de Zwijger, Gemeente Amsterdam, Eigenwijks, Code for Europe"
"Liander, Alliander"
"Gemeente Amsterdam, De Waag Society"
"Cisco, IBM, Liander, Living PlanIT, Philips"
"Gemeente Amsterdam, Amsterdam Economic board"
Hogeschool van Amsterdam
"Alliander, Amsterdam Economic Board, Arcadis, Gemeente Amsterdam, Hogeschool van Amsterdam, KPN, Peeters vervoercentrale, PostNL"
"Fosbury Energy, Gemeente Amsterdam"
"David Kloet, De Brug, Gemeente Amsterdam Stadsdeel Oost"
"Verenigde Bedrijven Food Center Amsterdam, Gemeente Amsterdam, Greenchoice"
"startup bootcamp, MyOrder, BNP Paribas, Mecure, Accor, NH Krasnapolski, Paris Sorbonne"
Hogeschool van Amsterdam
"Centrum Wiskunde en Informatica, TrafficLink "
"Centrum Wiskunde en Informatica, TrafficLink "
"Cofely, Amsterdam Economic Board, Mitsubishi Motors, Hogrschool van Amsterdam, Liander, Alliander"
"Green Metropole, WeGo, Reiswijzer Stadsdeel West"

E-Harbours Electric
"The New Motion, Chess, Liander, Alliander"
"Port of Amsterdam, Joulz, Utiliq B.V., Liander, Royal HaskoningDHV, Alliander"
trafficlink
"Westpoort Warmte,  Amsterdam Economic Board, Liander, Gemeente Amsterdam, Waternet, Alliander,University of Amsterdam, Delft University of Technology, Mastervolt, DNV-GL, VITO, SolCalor, Daikin, Clicks and Links"

"Clicks and Links, Mobile Tech"
"Daikin, Mastervolt, Liander, Alliander, Hybrid heat pump"
"Mastervolt, "
"University of Amsterdam, Aliander, Hogeschool van Amsterdam, Gemeente Amsterdam, Alliander"
"Greenitnet, Resourcefully, Liander, Alliander, Mastervolt,"
"Amsterdam Economic Board, Reggefiber, Waternet"
"IKEA, Liander, Waternet, Alliander"
"Cisco, Vodafone, Alliander"
"Liander, Alliander"
BeNext
"AEB Amsterdam, DNV-GL,Westpoort Warmte, Gemeente Amsterdam"
"Plugwise, Liander, Alliander"
"Amsta, Gemeente Almere, Sigra, De Waag Society, Hogeschool Inholland, University of Amsterdam, VU University"
"DGBC Lab, Nijenrode University, De Groene Bocht, De balie"
"University of Amsterdam, IBM, Quby, Ymere, Cisco, Liander, Vattenfall-Nuon, Alliander"
"Gemeente Haarlem,Ymere, Altera Vastgoed, Woningcorporatie ELAN, Woningcorporatie PRE Wonen, Liander, Alliander"

"University of Amsterdam, GEO, ONZO, De Key, Favela Fabric, Liander, Alliander"
"Gemeente Amsterdam, DUS Architects, Henkel, Heijmans, Amsterdams Fonds voor de Kunst, Foundation DOEN"
"Gemeente Amsterdam, Amsterdam Economic Board, The Amsterdam ArenA"
Waternet
"Amsterdam Institute for Advanced Metropolitan Solutions (AMS), Waternet"
"IKEA, Eigenhaard, Stadgenoot, Academic Medical Center (AMC), Ymere, Accenture, Cisco, Amsterdam ArenA, Liander, Waternet, Vattenfall-Nuon, Alliander"
"Liander, Alliander"
"Gemeente Amsterdam, citySDK"
 
"Fosbury Energy, Gemeente Amsterdam"
"DNV-GL, ARN, HAN, TU Eindhoven, Alliander"
"BeNext, Mastervolt, Plugwise, Quby, KPN, Liander, Alliander"
"Philips, Cisco, Gemeente Eindhoven, Liander, Gemeente Amsterdam, Alliander"
"Athena HC, Jaap Eden Ijsbanen, WV-HEDW, Sustainable Corporation, Liander, Alliander"
Hogeschool van Amsterdam
Gemeente Amsterdam
"AMC, ECOFYS, Amsterdam Arena, Liander, Alliander"
"JCDecaux, Duncker, Philips, Tauw, van Gansewinkel, TNT, Vodafone, Ziut, Ondernemersvereniging Utrechtsestraat, Club van 30"
"Hogeschool van Amsterdam, Gemeente Amsterdam"
"Cool Endeavour, Ceramic Fuel Cells Limited, Eneco, GasTerra, Tempus, Liander, Alliander"
"E-Harbours Electric, Gemeente Zaanstad, GreenChoice"
"Sustainability Advice, Accenture"

"Energiemissie, Liander, Gemeente Amsterdam, Alliander"
NEMO
"HeatSavr, Kolibri, Sportfondsenbad, LedLease"
"KPN, Liander, Alliander"
"AEB Amsterdam, SolCalor, Waternet"
"Cofely, Alliander"
"Gemeente Amsterdam, entrepreneurs, Amsterdam Smart City (ASC), KPN"
"Reggefiber, KPN, Liander, Alliander"
"IJburg TV, KPN"
